modelo,variavel,h,q16,q50,q84
K = 23,PIB real,9,-0.060668163164255294,0.049794517923241924,0.2020340892347097
K = 23,PIB real,10,-0.05695301566914051,0.061950911598602595,0.2110181906635199
K = 23,PIB real,11,-0.05585574340842822,0.06915923624276865,0.21696129211547704
K = 23,PIB real,12,-0.04898999615400057,0.07689506057305046,0.22127964034519987
K = 23,PIB real,13,-0.04854193100353288,0.0814103498040469,0.2224720079562405
K = 23,PIB real,14,-0.04523395064778155,0.0825937363861679,0.22741009059064932
K = 23,PIB real,15,-0.047307622709608366,0.08861126879021727,0.2293235578827731
K = 23,PIB real,16,-0.04817847082938562,0.09048655192597954,0.22861062547546668
K = 23,PIB real,17,-0.04648512341077202,0.09145586871258647,0.22865422251041095
K = 23,PIB real,18,-0.04940006653932029,0.09239358025282605,0.22965479853457355
K = 23,PIB real,19,-0.0534892145935557,0.09219508579516912,0.23017600686871606
K = 23,PIB real,20,-0.04676112413955555,0.09294150170870522,0.22846425390315125
K = 23,PIB real,21,-0.05170222662841434,0.09152700006792458,0.22672983479124148
K = 23,PIB real,22,-0.05299403018651201,0.08599719599854556,0.22585011945856864
K = 23,PIB real,23,-0.0527843298854501,0.08156729557130522,0.22560494583820245
K = 23,PIB real,24,-0.0523910871326085,0.07920924777197938,0.22483856534818644
K = 23,PIB real,25,-0.053053975808303636,0.07701867371882767,0.2203013165739965
K = 23,PIB real,26,-0.054649836304693285,0.07737620651953266,0.2166034171232971
K = 23,PIB real,27,-0.05747737525228486,0.07551780491366172,0.21316015756282788
K = 23,PIB real,28,-0.06188874191470214,0.07642960090218741,0.21346047196937293
K = 23,PIB real,29,-0.0636236188744809,0.07346739506633265,0.21419283157744054
K = 23,PIB real,30,-0.06235278717725626,0.07261814030481473,0.21496747414058565
K = 23,PIB real,31,-0.06097628090183286,0.07255720683087921,0.21690373915421896
K = 23,PIB real,32,-0.060064936166730074,0.0720371615594533,0.2192660261837108
K = 23,PIB real,33,-0.05993584085566067,0.07296801224216656,0.22163861690858636
K = 23,PIB real,34,-0.05936447373446991,0.0731212560634284,0.22371626806945324
K = 23,PIB real,35,-0.059376066798950806,0.07545594779927514,0.22385178598516908
K = 23,PIB real,36,-0.05963553790352773,0.07510302192579865,0.2229584750651501
K = 23,PIB real,37,-0.06004719118103447,0.07427661586954783,0.22483872851755043
K = 23,PIB real,38,-0.06320636304778808,0.0751208830644659,0.22472605457571043
K = 23,PIB real,39,-0.06306108392543702,0.07402251557404292,0.2244410655679448
K = 23,PIB real,40,-0.06163304969772021,0.07271062122681282,0.22780094337057596
K = 23,PIB real,41,-0.062176694102258914,0.07240748298203961,0.2294913795505094
K = 23,PIB real,42,-0.06266835233618072,0.07256779460010564,0.23141020542930454
K = 23,PIB real,43,-0.06307596831007534,0.07334016472078288,0.22995451832074848
K = 23,PIB real,44,-0.06337301154894838,0.07336190571964155,0.23027799720069075
K = 23,PIB real,45,-0.06001061791608939,0.07483442091234721,0.23087373055870675
K = 23,PIB real,46,-0.05946199204677924,0.07529352745799031,0.2313775676106048
K = 23,PIB real,47,-0.05883305851276019,0.07504201602240279,0.2326386393518111
K = 23,PIB real,48,-0.059285221132023905,0.07579469815887682,0.23492828395592577
K = 23,PIB real,49,-0.05906346020000535,0.07883810399052404,0.240037707892872
